"pageid","pagename","langid","nsid"
"4568533","1957년","122","2279"
"6926959","1958년","122","2279"
"4568535","1959년","122","2279"
"4568536","1960년","122","2279"
"11268978","1960년","122","2293"
"4568537","1960년대","122","2279"
"8218032","1961년","122","2293"
"4568540","1961년","122","2279"
"4568541","1962년","122","2279"
"4568543","1963년","122","2279"
"4568544","1964년","122","2279"
"4568547","1965년","122","2279"
"11268980","1966년","122","2293"
"4568548","1966년","122","2279"
"4568549","1967년","122","2279"
"11509002","1968년","122","2293"
"4568550","1968년","122","2279"
"4568552","1969년","122","2279"
"4568553","1970년","122","2279"
"4568554","1970년대","122","2279"
"4568555","1971년","122","2279"
"4568556","1972년","122","2279"
"4568559","1973년","122","2279"
"4568560","1974년","122","2279"
"4568563","1975년","122","2279"
"4568564","1976년","122","2279"
"4568565","1977년","122","2279"
"4568566","1978년","122","2279"
"4568567","1979년","122","2279"
"4568568","1980년","122","2279"
"4568569","1980년대","122","2279"
"4568571","1981년","122","2279"
"4568572","1982년","122","2279"
"4568573","1983년","122","2279"
"4568574","1984년","122","2279"
"4568577","1985년","122","2279"
"4568578","1986년","122","2279"
"4568580","1987년","122","2279"
"4568581","1988년","122","2279"
"4554681","1988년","122","2293"
"4568584","1989년","122","2279"
"4568586","1990년","122","2279"
"10979941","1990년","122","2293"
"4568587","1990년대","122","2279"
"4568589","1991년","122","2279"
"4568591","1992년","122","2279"
"4568594","1993년","122","2279"
"12453391","1993년","122","2293"
"4568596","1994년","122","2279"
"4568600","1995년","122","2279"
"4568603","1996년","122","2279"
"4568610","1997년","122","2279"
"4568616","1998년","122","2279"
"4568619","1999년","122","2279"
"13893228","1999년","122","2293"
"13285248","19세기","122","2293"
"4568468","19세기","122","2279"
"4568196","1년","122","2279"
"4568200","1세기","122","2279"
"4568201","1월","122","2279"
"9703873","1월","122","2293"
"4568667","2000년","122","2279"
"4568668","2000년대","122","2279"
"4568671","2001년","122","2279"
"4568675","2002년","122","2279"
"15912742","2002년","122","2280"
"4568681","2003년","122","2279"
"14016151","2003년","122","2293"
"16068962","2004년","122","2293"
"4568682","2004년","122","2279"
"16018227","2005년","122","2293"
"4568689","2005년","122","2279"
"4568695","2006년","122","2279"
"16852173","2006년","122","2293"
"11268990","2007년","122","2293"
"4568706","2007년","122","2279"
"8218043","2008년","122","2293"
"4568716","2008년","122","2279"
"4554702","2009년","122","2293"
"4568749","2009년","122","2279"
"4568762","2010년","122","2279"
"4568763","2010년대","122","2279"
"4568775","2011년","122","2279"
"4568776","2012년","122","2279"
"16184603","2012년","122","2293"
"4568778","2013년","122","2279"
"4568779","2014년","122","2279"
"4568783","2015년","122","2279"
"4568784","2016년","122","2279"
"4568786","2017년","122","2279"
"4568787","2018년","122","2279"
"9053644","2019년","122","2279"
"4568665","20세기","122","2279"
"6921840","20세기","122","2293"
"4568809","21세기","122","2279"
"9050898","21세기","122","2293"
"4568816","23","122","2279"
"4568820","24년","122","2279"
"4568629","2월","122","2279"
"8221375","300년","122","2279"
"11268993","3년","122","2293"
"8221372","3년","122","2279"
"9053654","3세기","122","2279"
"4568910","42","122","2279"
"4568888","4세기","122","2279"
"8218046","4월","122","2293"
"4568889","4월","122","2279"
"10658664","4차원","122","2279"
"4568906","4챈","122","2279"
"11271284","500년","122","2279"
"13800885","51구역","122","2279"
"6927063","5세기","122","2279"
"14580524","5월","122","2293"
"4568918","5월","122","2279"
"4568987","666","122","2279"
"4568988","666년","122","2279"
"9053692","69년","122","2279"
"4568951","6세기","122","2279"
"11268996","6월","122","2293"
"4568952","6월","122","2279"
"4568993","7","122","2279"
"4569020","70인역","122","2279"
"10217948","7년","122","2279"
"8221415","7세기","122","2279"
"4568995","7월","122","2279"
"11268997","7월","122","2293"
"9053710","8세기","122","2279"
"15626992","8월","122","2293"
"4569034","8월","122","2279"
"13725771","911년","122","2279"
"9053721","9세기","122","2279"
"10979950","9월","122","2293"
"4569064","9월","122","2279"
"4569104","@","122","2279"
"4569105","A","122","2279"
"16018236","A","122","2281"
"4569115","ABC","122","2279"
"9706457","AC","122","2279"
"4569120","AC/DC","122","2279"
"6927134","AD","122","2279"
"11271331","AE","122","2279"
"8221448","AFC","122","2279"
"4569139","AK-47","122","2279"
"4569145","AM","122","2279"
"4569152","API","122","2279"
"6927157","AR","122","2279"
"12571571","ASP.NET","122","2279"
"8221467","AT","122","2279"
"4569166","AT&T","122","2279"
"6927171","AU","122","2279"
"11918733","AVE","122","2279"
"15312925","Absolution","122","2279"
"4569185","Ajax","122","2279"
"4569194","Audacity","122","2279"
"4569196","B","122","2279"
"4569202","BBC","122","2279"
"4569208","BDSM","122","2279"
"14279083","BDSM","122","2293"
"4569208","BDSM","122","2279"
"14279083","BDSM","122","2293"
"4569216","BMW","122","2279"
"4569218","BMX","122","2279"
"15312927","Bad","122","2279"
"15568182","Bash","122","2279"
"12215879","Blackout","122","2279"
"8221479","B세포","122","2279"
"4569238","C","122","2279"
"4569239","C++","122","2279"
"8221500","C4","122","2279"
"9706497","CL","122","2279"
"6927216","CM","122","2279"
"8221518","CMOS","122","2279"
"6927220","CMS","122","2279"
"4569280","CNN","122","2279"
"10658717","CO","122","2279"
"8221520","CP/M","122","2279"
"4569288","CR","122","2279"
"4569297","CV","122","2279"
"4569309","D","122","2279"
"4569316","DC","122","2279"
"6927243","DHL","122","2279"
"8221529","DIMM","122","2279"
"13285250","DNA","122","2293"
"4569342","DNA","122","2279"
"4569353","DVD","122","2279"
"12571794","DirectX","122","2279"
"11510030","Dookie","122","2279"
"4570295","E","122","2279"
"15568370","E.T.","122","2279"
"6927258","EE","122","2279"
