#lang,articles,pages,files,edits,users,admins
be-x-old,48387,121269,1158,1580666,29139,7
ab,804,4023,1,37857,5892,1
aa,6,1414,0,2477,3217,0
af,25963,63047,2507,1149087,48686,11
ak,171,1367,0,16101,3722,1
sq,44715,107630,10613,1364873,49690,15
als,13615,32441,628,516840,31335,8
am,12189,37060,1581,303475,12914,6
ang,2556,11982,378,166953,45408,0
ar,213011,1278284,15081,12590674,598287,30
an,29032,94762,1108,1508344,25882,6
arc,1574,5943,72,86332,7199,5
hy,44258,213533,3843,1166739,21701,8
roa-rup,25120,28825,518,214185,6343,1
as,2061,30058,1221,113890,6256,4
ast,18567,33637,25,733637,19563,7
av,1078,4638,2,47826,4020,0
ay,2534,5875,12,72330,6137,2
az,93271,233270,13919,2639873,54226,14
bm,390,2771,1,33610,4029,1
map-bms,12985,25505,550,182850,5510,3
ba,30220,62999,639,347488,7580,8
eu,149479,354544,1,3675417,42144,12
bar,6415,25337,328,336446,20861,7
be,56161,129862,685,1583646,32959,7
bn,25471,282620,1577,1409804,42215,10
bh,2717,6508,12,113326,4143,1
bpy,24771,57031,162,756290,11196,1
bi,441,1551,1,34754,3694,1
no,368627,897567,500,12411201,262422,63
bs,32168,138675,4440,2123055,57592,15
br,45181,93956,4655,1508888,25499,11
bug,13694,17078,13,171532,4867,3
bg,144600,326017,1381,5788794,130365,24
my,31264,45338,3587,196990,17553,5
bxr,1166,4150,18,28383,4024,2
ca,395364,970123,7133,11222813,137537,27
ceb,210536,355465,341,1721996,12282,7
bcl,5540,9475,946,145213,6047,1
ch,159,2151,1,14943,5159,0
cbk-zam,8752,10407,0,88532,5667,2
ce,1615,7479,267,71737,5961,7
chr,468,3396,1,30508,6222,2
ny,163,1137,0,15147,2463,1
chy,546,1799,0,18482,3652,1
zh,672449,2853334,32927,26013117,1374545,79
cho,15,140,2,4052,1374,0
cv,14289,29847,630,481194,12028,4
zh-classical,2904,63671,1,220852,31234,1
kw,2447,6538,127,164686,5129,1
co,6376,12341,66,329542,7169,2
cr,171,2371,0,23476,5004,1
crh,1777,9042,5,115289,6081,2
hr,129794,373708,10652,4054307,106176,28
cs,257465,666664,2,10036142,214533,29
da,175286,569554,2,7117949,180431,37
