de	Berlin	215	46010.0	45580	0.991
de	Heidelberg	87	7482.0	7221	0.965
de	Sulingen	17	272.0	289	1.062
de	Bad_Harzburg	24	552.0	120	0.217
en	Oxford	97	9312.0	8924	0.958
en	Birmingham	101	10100.0	9797	0.970
de	Deutschland	251	62750.0	60491	0.964
de	Vereinigte_Staaten	254	64262.0	13970	0.217
de	Angela_Merkel	112	12432.0	448	0.036
de	Barack_Obama	201	40200.0	1608	0.040
en	Germany	251	62750.0	60491	0.964
en	United_States	254	64262.0	13970	0.217
en	Angela_Merkel	112	12432.0	448	0.036
en	Barack_Obama	201	40200.0	1608	0.040
