#
#studie	ACN.elementAt(0).wiki	ACN.elementAt(0).page	ACN.size()	BIWL.size()	AL.size()	BL.size()	volCN	volIWL	volAL	volBL	r1	r2	r3	ext	
#
WikiPaper_und_BA_2012	de	Berlin	1	214	1217	31425	178869,00000	17713586,00000	45198789,00000	320485171,00000	0,39574	5,52712	4,89287	-ext-	
WikiPaper_und_BA_2012	de	Heidelberg	1	84	811	8027	123116,00000	6402104,00000	28172613,00000	86952322,00000	0,43701	7,36278	5,66795	-ext-	
WikiPaper_und_BA_2012	de	Sulingen	1	16	204	974	26451,00000	343863,00000	5082748,00000	5888658,00000	0,52041	5,83941	3,37526	-ext-	
WikiPaper_und_BA_2012	de	Bad Harzburg	1	24	195	917	24276,00000	412692,00000	5659255,00000	11142183,00000	0,42896	3,70387	2,60078	-ext-	
WikiPaper_und_BA_2012	en	Oxford	1	94	784	6307	71442,00000	3715025,00000	19743993,00000	47385487,00000	0,36184	7,84001	5,64054	-ext-	
WikiPaper_und_BA_2012	en	Birmingham	1	101	1481	7344	153413,00000	9204780,00000	37575953,00000	73656861,00000	0,40827	12,49684	8,41316	-ext-	
WikiPaper_und_BA_2012	de	Liste_deutscher_Städte	1	0	1	0	46,00000	0,00000	55670,00000	0,00000	0,08263	�	0,08263	-ext-	
WikiPaper_und_BA_2012	en	List_of_cities_in_the_United_Kingdom	1	33	251	5421	34368,00000	34368,00000	8684574,00000	27469153,00000	0,39574	0,12511	0,19012	-ext-	
WikiPaper_und_BA_2012	de	Illuminati_(Buch)	1	42	249	1923	51407,00000	62,00000	5441119,00000	27652149,00000	0,94479	0,00022	0,15553	-ext-	
WikiPaper_und_BA_2012	de	Amoklauf_von_Erfurt	1	10	74	236	22197,00000	0,00000	1684699,00000	4876224,00000	1,31756	0,00000	0,33832	-ext-	
