#lang,articles,pages,files,edits,users,admins
nn,105108,244024,197,2790983,52370,29
nov,2661,4814,10,178692,4414,3
ii,16,158,3,11518,1538,0
ie,2073,4659,11,116486,5595,2
oc,84652,135242,1296,2043318,17710,6
cu,512,3915,2,68353,10664,3
or,4305,25293,78,141705,5516,4
om,272,2755,5,19011,2941,1
os,9022,33851,375,467294,10790,3
ng,21,426,1,5906,1740,0
pi,2807,4239,1,100672,2670,0
pag,3850,6047,43,50921,3170,1
pap,1333,3405,5,72506,4757,1
ps,4850,12457,1185,156663,7815,7
pdc,1850,5049,164,101240,13114,3
fa,317325,1775531,25401,15462459,360948,27
pms,62697,89873,2184,831179,10669,9
pih,386,1613,2,38379,3846,1
pl,989145,1950373,0,38068236,572723,151
pnt,374,1679,3,34071,3822,4
pt,794285,3286949,25364,37671096,1182716,39
pa,7441,22530,406,148944,6455,0
qu,18434,49010,83,647061,11457,2
ksh,2674,9584,111,2120410,11054,3
rmy,541,2356,6,47219,7286,1
ro,229716,963331,26723,8370073,267877,23
rm,3463,8118,54,144806,7154,3
ru,1037222,3483263,153839,66985078,1097416,92
sah,9608,27069,2091,318733,7869,3
se,7560,16001,58,279318,10209,6
sm,430,2855,1,31728,3213,0
bat-smg,13523,23657,695,327351,11374,7
sg,204,1371,2,19487,2651,1
sa,9279,22352,117,249963,9545,7
sc,3071,9592,183,133034,7065,2
stq,3002,7944,492,113876,5400,3
sco,15966,52308,266,404532,19001,6
gd,11685,19690,548,446850,9770,9
sr,222683,683055,20895,8238861,127882,17
sh,88203,227484,3880,1775107,57513,9
sn,1494,3793,3,37614,4069,0
scn,23094,52101,1552,723312,16724,9
szl,2199,9278,3,219560,8501,3
simple,104230,302722,23,6980748,323077,25
sd,371,3989,19,28159,3797,1
si,8306,40336,3722,282537,15094,3
sk,185838,395199,18,5601227,92174,9
sl,138004,303522,6515,4250449,112849,29
so,2846,9408,126,128681,8133,4
st,190,2291,0,16074,3646,1
es,1039917,4310710,1,74331517,2752128,87
srn,1037,2479,0,37930,2825,1
su,17589,36113,577,453982,10459,5
sw,25435,65950,1943,956780,16356,10
ss,368,1679,4,35576,3116,2
sv,1505263,3350371,0,24764403,342914,79
tl,61537,195270,1921,1438373,47052,14
ty,887,3074,1,46399,3165,3
tg,11109,20757,397,344952,9469,4
ta,55238,158767,10061,1549089,54927,30
roa-tara,9181,16798,310,132196,4806,4
tt,50743,102067,1737,875045,13138,2
te,52749,127710,8701,908054,31670,20
tet,780,2143,1,53817,3364,3
th,83122,427869,28303,5398996,179228,17
bo,6082,14963,296,132986,9689,0
ti,264,1307,1,18383,3119,0
tpi,1243,6004,3,78599,5102,1
to,1648,6031,450,33432,3707,1
ts,251,1680,0,27655,3268,1
tn,496,2036,1,19562,3318,3
tum,168,1207,0,21705,2538,0
tr,216175,1082577,27398,14592882,497698,28
tk,4913,11194,373,195742,8135,1
tw,157,1071,0,15091,4329,1
udm,3378,8154,120,101190,5459,3
uk,461226,1382735,72618,13183027,186631,29
hsb,7932,20097,239,312248,10363,4
ur,24839,102115,3778,1307681,26779,13
ug,2940,8388,649,139005,8009,2
uz,127237,636401,324,2180176,14005,8
ve,203,1313,0,15904,2678,0
vec,10163,30853,738,566124,11945,5
vi,842480,2158542,17373,13558797,346917,29
vo,119106,247607,0,3293349,16693,6
fiu-vro,5126,8992,252,173374,5531,3
wa,12919,33201,2215,310318,9055,3
war,716797,1410038,274,4012567,16634,2
cy,50304,109075,3843,2669155,26181,17
vls,4728,14699,564,278648,9548,5
fy,28387,57031,5002,697940,15109,9
wo,1189,5439,72,98732,6146,4
wuu,3124,10433,436,209767,25647,2
xh,154,1552,0,24394,3790,0
yi,10358,32990,1438,490101,17391,3
yo,30676,52584,214,542591,9830,2
zh-yue,25368,78201,689,858076,78632,11
diq,4280,18419,188,337255,9457,2
zea,3783,6769,6,91414,4634,5
za,663,1953,0,35999,3690,0
zu,591,3451,2,34065,5984,0
eo,184591,400168,7830,5363209,86751,19
ia,14062,23941,25,540618,17933,10
