"originalid","originalid","_c2"
"0","0","6160"
"1","1","299"
"2","2","16"
"3","3","16"
"4","4","4"
"10","10","23"
"11","11","3"
"12","12","2"
"14","14","1471"
"15","15","13"
"100","100","164"
"101","101","29"
