"originalid","originalid","_c2"
"-1","-1","1"
"0","0","13199"
"1","1","1835"
"2","2","24"
"3","3","17"
"4","4","17"
"5","5","8"
"6","6","6"
"10","10","185"
"11","11","44"
"12","12","3"
"14","14","3029"
"15","15","53"
"100","100","106"
"101","101","63"
