"originalid","originalid","_c2"
"0","0","5424"
"1","1","146"
"2","2","10"
"3","3","8"
"4","4","16"
"5","5","2"
"10","10","25"
"11","11","18"
"12","12","1"
"14","14","649"
"15","15","3"
"100","100","83"
"101","101","30"
