"originalid","originalid","_c2"
"-1","-1","5"
"0","0","5835"
"1","1","4003"
"2","2","137"
"3","3","79"
"4","4","20"
"5","5","66"
"6","6","24"
"8","8","1"
"10","10","734"
"11","11","419"
"12","12","8"
"14","14","2613"
"15","15","43"
"100","100","496"
"101","101","87"
