"originalid","originalid","_c2"
"-1","-1","6"
"0","0","14447"
"1","1","290"
"2","2","16"
"3","3","15"
"5","5","3"
"6","6","3"
"10","10","130"
"11","11","13"
"12","12","1"
"14","14","1289"
"15","15","7"
"100","100","122"
"101","101","4"
