Wikipedia Language Codes,,Dead languages,Made up languages or controvers definition and/or grouping,,,,
,,,,,,,
22,be-x-old,Беларуская (тарашкевіца),http://be-x-old.wikipedia.org, Belarusian Classical Orthography,,,
"2,ab,Аҧсуа,http://ab.wikipedia.org,Abkhaz,""Georgia, Turkey, Russia"",Georgia,117 thousand"
"1,aa,Qafár af,http://aa.wikipedia.org,Afar,""Ethiopia, Eritrea, Djibouti"",Eritrea,1.5 Million"
"3,af,Afrikaans,http://af.wikipedia.org,Afrikaans,""South Africa, Namibia"",""South Africa, Namibia"",23 Million"
"4,ak,Akan,http://ak.wikipedia.org,Akan,""Ghana, Ivory Coast (Abron), Benin (Tchumbuli)"",,11 Million"
"215,sq,Shqip,http://sq.wikipedia.org,Albanian ,""Albania, Kosovo, Macedonia, Italy, Montenegro, Serbia, Romania, Turkey"",,""7,3 Million"""
"5,als,Alemannisch,http://als.wikipedia.org,Alemannic German,""Switzerland, Germany, Austria, Liechtenstein, France (Alsace), Italy (Aosta, Piedmont), Venezuela (Aleman Coloniero"",,10 Million"
6,am,አማርኛ,http://am.wikipedia.org,Amharic,Ethiopia,Ethiopia,25 Million
8,ang,Anglo-Saxon,http://ang.wikipedia.org,Anglo-Saxon,,,
"9,ar,العربية,http://ar.wikipedia.org,Arabic,""Algeria,Bahrain, Comoros, Djibouti, Egypt, Iraq, Jordan, Kuwait, Lebanon, Lybia, Mauritania,Morrocco, Oman, Palestine,Qatar, Saudi Arabia, Somalia, Sudan, Tunisia, United Arab Emirates, Yemen, Syria, Turkey, Iran, Israel, Eritrea, Mali, Niger, Chad"",,295 Million"
7,an,Aragonés,http://an.wikipedia.org,Aragonese,Spain (Aragon),Spain (Aragon),30 thousand
"10,arc,ܐܪܡܝܐ,http://arc.wikipedia.org,Aramaic,""Lebanon, Iran, Iraq, Israel, Syria, Turkey, Jordan, Palestine"",,500 thousand"
"96,hy,Հայերեն,http://hy.wikipedia.org,Armenian,""Armenia,  Nagorno-Karabakh,Iran, Cyprus, Poland, Romania, Russia, Georgia, Bulgaria "",""Armenia,  Nagorno-Karabakh,Iran, Cyprus, Poland, Romania, Russia, Georgia, Bulgaria "",""6,7 Million"""
"195,roa-rup,Armãneashce,http://roa-rup.wikipedia.org,Aromanian ,""Greece, Albania, Romania, Republic of Macedonia, Serbia, Bulgaria and Turkey."",,250 Thousand"
12,as,অসমীয়া,http://as.wikipedia.org,Assamese,India (Assam),India (Assam),15 Million
13,ast,Asturianu,http://ast.wikipedia.org,Asturian,Spain,Autonomous Community of Asturias,450 thousand
"14,av,Авар,http://av.wikipedia.org,Avar,""Russia, Azerbaijan, Kazakhstan, Georgia and Turkey"",,790 thousand"
"15,ay,Aymar aru,http://ay.wikipedia.org,Aymara,""Bolivia, Peru and Chile."",,2.46 Million"
"16,az,Azərbaycan,http://az.wikipedia.org,Azerbaijani,""Iran, Azerbaijan, Turkey, Armenia, Georgia, Russia, Afghanistan, Iraq, Syria"",""Azerbaijan, Russia (Dagestan)"",23 Million"
