pageid pagename delay day1 day2 date1 date2 date3 raw    
5400622 30:e_november 1283 86 206 "Sat Mar 28 12:42:01 CET 2009" "Wed May 27 12:42:01 CEST 2009" "Sun Jul 26 12:42:01 CEST 2009" 30:e_november sv "Sun Nov 20 21:25:46 CET 2005" en "Wed May 27 12:42:01 CEST 2009"
5402504 All_They_Ever_Wanted 156 78 198 "Fri Mar 20 16:17:02 CET 2009" "Tue May 19 16:17:02 CEST 2009" "Sat Jul 18 16:17:02 CEST 2009" All_They_Ever_Wanted sv "Sat Dec 13 22:58:19 CET 2008" en "Tue May 19 16:17:02 CEST 2009"
5402615 Allt_flyter 173 110 230 "Tue Apr 21 22:48:18 CEST 2009" "Sat Jun 20 22:48:18 CEST 2009" "Wed Aug 19 22:48:18 CEST 2009" Allt_flyter sv "Sun Dec 28 22:00:03 CET 2008" en "Sat Jun 20 22:48:18 CEST 2009"
5405850 Bandit_Rock 1713 140 260 "Thu May 21 21:28:47 CEST 2009" "Mon Jul 20 21:28:47 CEST 2009" "Fri Sep 18 21:28:47 CEST 2009" Bandit_Rock sv "Tue Nov 09 21:50:26 CET 2004" en "Mon Jul 20 21:28:47 CEST 2009"
5406130 Baskemölla 1768 48 168 "Wed Feb 18 11:08:04 CET 2009" "Sun Apr 19 11:08:04 CEST 2009" "Thu Jun 18 11:08:04 CEST 2009" Baskemölla sv "Tue Jun 15 19:38:33 CEST 2004" en "Sun Apr 19 11:08:04 CEST 2009"
5406275 Beck_(film) 1482 134 254 "Fri May 15 19:59:39 CEST 2009" "Tue Jul 14 19:59:39 CEST 2009" "Sat Sep 12 19:59:39 CEST 2009" Beck_(film) sv "Wed Jun 22 21:05:31 CEST 2005" en "Tue Jul 14 19:59:39 CEST 2009"
5406279 Beck_–_Kartellen 1562 141 261 "Fri May 22 12:38:13 CEST 2009" "Tue Jul 21 12:38:13 CEST 2009" "Sat Sep 19 12:38:13 CEST 2009" Beck_–_Kartellen sv "Mon Apr 11 01:31:58 CEST 2005" en "Tue Jul 21 12:38:13 CEST 2009"
5406281 Beck_–_Okänd_avsändare 1545 141 261 "Fri May 22 12:41:30 CEST 2009" "Tue Jul 21 12:41:30 CEST 2009" "Sat Sep 19 12:41:30 CEST 2009" Beck_–_Okänd_avsändare sv "Thu Apr 28 02:04:39 CEST 2005" en "Tue Jul 21 12:41:30 CEST 2009"
5406283 Beck_–_Sista_vittnet 1520 141 261 "Fri May 22 12:51:18 CEST 2009" "Tue Jul 21 12:51:18 CEST 2009" "Sat Sep 19 12:51:18 CEST 2009" Beck_–_Sista_vittnet sv "Sun May 22 23:27:42 CEST 2005" en "Tue Jul 21 12:51:18 CEST 2009"
7325721 Billesholm 1672 67 187 "Mon Mar 09 15:10:58 CET 2009" "Fri May 08 15:10:58 CEST 2009" "Tue Jul 07 15:10:58 CEST 2009" Billesholm sv "Sat Oct 09 14:43:18 CEST 2004" en "Fri May 08 15:10:58 CEST 2009"
